Race,Score,Age,Race,LogBubble
Asian,0.3,18,Asian,2.995732274
Black,0.87037037,18,Black,3.988984047
Multiple,2.4,18,Multiple,2.302585093
Native American,3.833333333,18,Native American,1.791759469
White,0.628959276,18,White,5.398162702
Asian,0.642857143,19,Asian,3.33220451
Black,0.62,19,Black,3.912023005
Multiple,0.666666667,19,Multiple,2.48490665
Native American,1,19,Native American,1.945910149
White,0.88,19,White,5.298317367
Asian,0.689655172,20,Asian,3.36729583
Black,0.879310345,20,Black,4.060443011
Multiple,1.083333333,20,Multiple,2.48490665
Native American,1.25,20,Native American,2.079441542
White,0.978494624,20,White,5.631211782
Asian,0.541666667,21,Asian,3.17805383
Black,0.847457627,21,Black,4.077537444
Multiple,1.222222222,21,Multiple,2.197224577
Native American,0.25,21,Native American,1.386294361
White,0.871710526,21,White,5.717027701
Asian,0.540540541,22,Asian,3.610917913
Black,1.351851852,22,Black,3.988984047
Multiple,1.4,22,Multiple,2.995732274
Native American,1.375,22,Native American,2.079441542
White,0.836619718,22,White,5.872117789
Asian,0.6875,23,Asian,3.465735903
Black,0.983050847,23,Black,4.077537444
Multiple,1.1875,23,Multiple,2.772588722
Native American,2.285714286,23,Native American,1.945910149
White,0.737951807,23,White,5.805134969
Asian,0.7,24,Asian,3.688879454
Black,0.759259259,24,Black,3.988984047
Multiple,1.285714286,24,Multiple,3.044522438
Native American,1.5,24,Native American,2.079441542
White,0.88856305,24,White,5.831882477
Asian,0.3125,25,Asian,3.465735903
Black,0.728395062,25,Black,4.394449155
Multiple,1.15,25,Multiple,2.995732274
Native American,1.454545455,25,Native American,2.397895273
White,0.765133172,25,White,6.023447593
Asian,0.5,26,Asian,3.784189634
Black,1.411764706,26,Black,4.219507705
Multiple,1,26,Multiple,2.48490665
Native American,1.3,26,Native American,2.302585093
White,0.753541076,26,White,5.866468057
Asian,0.575,27,Asian,3.688879454
Black,1.202702703,27,Black,4.304065093
Multiple,1.526315789,27,Multiple,2.944438979
Native American,2,27,Native American,1.791759469
White,0.84398977,27,White,5.96870756
Asian,0.979166667,28,Asian,3.871201011
Black,0.949152542,28,Black,4.077537444
Multiple,0.923076923,28,Multiple,2.564949357
Native American,1,28,Native American,2.48490665
White,0.772616137,28,White,6.013715156
Asian,0.730769231,29,Asian,3.951243719
Black,0.661764706,29,Black,4.219507705
Multiple,0.333333333,29,Multiple,2.48490665
Native American,1,29,Native American,2.079441542
White,0.727488152,29,White,6.045005314
Asian,0.56097561,30,Asian,3.713572067
Black,0.883116883,30,Black,4.343805422
Multiple,0.833333333,30,Multiple,2.48490665
Native American,1.6,30,Native American,2.302585093
White,0.750542299,30,White,6.133398043
Asian,1.090909091,31,Asian,3.784189634
Black,1.2875,31,Black,4.382026635
Multiple,1.2,31,Multiple,2.302585093
Native American,1.333333333,31,Native American,1.791759469
White,0.892773893,31,White,6.061456919
Asian,0.789473684,32,Asian,3.63758616
Black,0.56,32,Black,4.317488114
Multiple,0.692307692,32,Multiple,2.564949357
Native American,0,32,Native American,1.609437912
White,0.673267327,32,White,6.001414878
Asian,0.512195122,33,Asian,3.713572067
Black,0.764044944,33,Black,4.48863637
Multiple,1.19047619,33,Multiple,3.044522438
Native American,2,33,Native American,1.791759469
White,0.819905213,33,White,6.045005314
Asian,0.547619048,34,Asian,3.737669618
Black,1.066666667,34,Black,4.49980967
Multiple,1.066666667,34,Multiple,2.708050201
Native American,1.333333333,34,Native American,1.791759469
White,0.710144928,34,White,6.025865974
Asian,0.864864865,35,Asian,3.610917913
Black,0.786666667,35,Black,4.317488114
Multiple,2.428571429,35,Multiple,1.945910149
Native American,0.25,35,Native American,1.386294361
White,0.836185819,35,White,6.013715156
Asian,0.6,36,Asian,3.401197382
Black,0.575342466,36,Black,4.290459441
Multiple,2.076923077,36,Multiple,2.564949357
Native American,2.285714286,36,Native American,1.945910149
White,0.75596817,36,White,5.932245187
Asian,0.476190476,37,Asian,3.737669618
Black,1.063291139,37,Black,4.369447852
Multiple,2.333333333,37,Multiple,1.791759469
Native American,0.666666667,37,Native American,2.197224577
White,0.971128609,37,White,5.942799375
Asian,0.860465116,38,Asian,3.761200116
Black,0.648648649,38,Black,4.304065093
Multiple,1.071428571,38,Multiple,2.63905733
Native American,1,38,Native American,1.945910149
White,0.802702703,38,White,5.913503006
Asian,0.242424242,39,Asian,3.496507561
Black,0.454545455,39,Black,4.007333185
Multiple,0.428571429,39,Multiple,2.63905733
Native American,1.333333333,39,Native American,2.197224577
White,0.796875,39,White,5.950642553
Asian,0.7,40,Asian,3.688879454
Black,0.8875,40,Black,4.382026635
Multiple,0.7,40,Multiple,2.302585093
Native American,1.75,40,Native American,2.079441542
White,1.023872679,40,White,5.932245187
Asian,1,41,Asian,3.583518938
Black,0.830769231,41,Black,4.17438727
Multiple,0.8,41,Multiple,2.302585093
Native American,0.5,41,Native American,1.791759469
White,0.924932976,41,White,5.92157842
Asian,0.714285714,42,Asian,3.555348061
Black,0.837837838,42,Black,4.304065093
Multiple,1.611111111,42,Multiple,2.890371758
Native American,2,42,Native American,1.791759469
White,0.770718232,42,White,5.891644212
Asian,0.795454545,43,Asian,3.784189634
Black,0.666666667,43,Black,4.189654742
Multiple,2.071428571,43,Multiple,2.63905733
Native American,1.333333333,43,Native American,1.098612289
White,1,43,White,5.81711116
Asian,0.466666667,44,Asian,3.401197382
Black,1.163934426,44,Black,4.110873864
Multiple,1.4,44,Multiple,2.302585093
Native American,1.25,44,Native American,2.079441542
White,0.915662651,44,White,6.02827852
Asian,0.552631579,45,Asian,3.63758616
Black,0.816901408,45,Black,4.262679877
Multiple,1.125,45,Multiple,2.079441542
Native American,0.8,45,Native American,1.609437912
White,0.849642005,45,White,6.03787092
Asian,0.851851852,46,Asian,3.295836866
Black,0.77173913,46,Black,4.521788577
Multiple,2,46,Multiple,2.197224577
Native American,1.333333333,46,Native American,1.791759469
White,1.095238095,46,White,5.934894196
Asian,1.133333333,47,Asian,3.401197382
Black,1.611940299,47,Black,4.204692619
Multiple,0.384615385,47,Multiple,2.564949357
Native American,1.8,47,Native American,1.609437912
White,1.048346056,47,White,5.973809612
Asian,0.896551724,48,Asian,3.36729583
Black,1,48,Black,4.158883083
Multiple,0.5,48,Multiple,2.302585093
Native American,2.6,48,Native American,1.609437912
White,0.882352941,48,White,5.96870756
Asian,1.129032258,49,Asian,3.433987204
Black,1.051282051,49,Black,4.356708827
Multiple,1.7,49,Multiple,2.302585093
Native American,0.8,49,Native American,1.609437912
White,1.094182825,49,White,5.888877958
Asian,0.567567568,50,Asian,3.610917913
Black,0.914634146,50,Black,4.406719247
Multiple,2.230769231,50,Multiple,2.564949357
Native American,0.125,50,Native American,2.079441542
White,1.007228916,50,White,6.02827852
Asian,0.814814815,51,Asian,3.295836866
Black,1.289156627,51,Black,4.418840608
Multiple,0.25,51,Multiple,2.079441542
Native American,1,51,Native American,0
White,0.918575064,51,White,5.973809612
Asian,0.971428571,52,Asian,3.555348061
Black,1.6,52,Black,4.553876892
Multiple,3.666666667,52,Multiple,1.098612289
Native American,2.555555556,52,Native American,2.197224577
White,1.032634033,52,White,6.061456919
Asian,0.861111111,53,Asian,3.583518938
Black,0.946666667,53,Black,4.317488114
Multiple,1,53,Multiple,2.397895273
Native American,2.25,53,Native American,2.079441542
White,1.026506024,53,White,6.02827852
Asian,0.875,54,Asian,3.465735903
Black,1.346534653,54,Black,4.615120517
Multiple,1,54,Multiple,2.708050201
Native American,2,54,Native American,1.945910149
White,0.957647059,54,White,6.052089169
Asian,0.666666667,55,Asian,3.401197382
Black,1.466666667,55,Black,4.49980967
Multiple,1.375,55,Multiple,2.079441542
Native American,0.777777778,55,Native American,2.197224577
White,1.23556582,55,White,6.070737728
Asian,1,56,Asian,3.044522438
Black,1.08,56,Black,4.317488114
Multiple,2,56,Multiple,2.397895273
Native American,1.6,56,Native American,1.609437912
White,1.137554585,56,White,6.126869184
Asian,1.2,57,Asian,3.401197382
Black,1.233766234,57,Black,4.343805422
Multiple,1.444444444,57,Multiple,2.197224577
Native American,0.8,57,Native American,1.609437912
White,1.243961353,57,White,6.025865974
Asian,0.409090909,58,Asian,3.091042453
Black,0.973684211,58,Black,4.33073334
Multiple,3.066666667,58,Multiple,2.708050201
Native American,1.3,58,Native American,2.302585093
White,0.897216274,58,White,6.146329258
Asian,1.2,59,Asian,2.995732274
Black,1.046511628,59,Black,4.454347296
Multiple,0.166666667,59,Multiple,1.791759469
Native American,1.75,59,Native American,1.386294361
White,0.858093126,59,White,6.11146734
Asian,0.444444444,60,Asian,3.295836866
Black,0.52,60,Black,4.317488114
Multiple,2.125,60,Multiple,2.079441542
Native American,1.75,60,Native American,2.079441542
White,0.942263279,60,White,6.070737728
Asian,0.619047619,61,Asian,3.044522438
Black,1,61,Black,4.317488114
Multiple,1.615384615,61,Multiple,2.564949357
Native American,3,61,Native American,2.079441542
White,0.988262911,61,White,6.054439346
Asian,0.25,62,Asian,3.17805383
Black,0.666666667,62,Black,4.189654742
Multiple,1.444444444,62,Multiple,2.197224577
Native American,1,62,Native American,1.791759469
White,0.828767123,62,White,6.08221891
