Bubble,Age,Score,Race,LogBubble
20,18,0.3,Asian,1.301029996
54,18,0.87037037,Black,1.73239376
10,18,2.4,Multiple,1
6,18,3.833333333,Native American,0.77815125
221,18,0.628959276,White,2.344392274
28,19,0.642857143,Asian,1.447158031
50,19,0.62,Black,1.698970004
12,19,0.666666667,Multiple,1.079181246
7,19,1,Native American,0.84509804
200,19,0.88,White,2.301029996
29,20,0.689655172,Asian,1.462397998
58,20,0.879310345,Black,1.763427994
12,20,1.083333333,Multiple,1.079181246
8,20,1.25,Native American,0.903089987
279,20,0.978494624,White,2.445604203
24,21,0.541666667,Asian,1.380211242
59,21,0.847457627,Black,1.770852012
9,21,1.222222222,Multiple,0.954242509
4,21,0.25,Native American,0.602059991
304,21,0.871710526,White,2.482873584
37,22,0.540540541,Asian,1.568201724
54,22,1.351851852,Black,1.73239376
20,22,1.4,Multiple,1.301029996
8,22,1.375,Native American,0.903089987
355,22,0.836619718,White,2.550228353
32,23,0.6875,Asian,1.505149978
59,23,0.983050847,Black,1.770852012
16,23,1.1875,Multiple,1.204119983
7,23,2.285714286,Native American,0.84509804
332,23,0.737951807,White,2.521138084
40,24,0.7,Asian,1.602059991
54,24,0.759259259,Black,1.73239376
21,24,1.285714286,Multiple,1.322219295
8,24,1.5,Native American,0.903089987
341,24,0.88856305,White,2.532754379
32,25,0.3125,Asian,1.505149978
81,25,0.728395062,Black,1.908485019
20,25,1.15,Multiple,1.301029996
11,25,1.454545455,Native American,1.041392685
413,25,0.765133172,White,2.615950052
44,26,0.5,Asian,1.643452676
68,26,1.411764706,Black,1.832508913
12,26,1,Multiple,1.079181246
10,26,1.3,Native American,1
353,26,0.753541076,White,2.547774705
40,27,0.575,Asian,1.602059991
74,27,1.202702703,Black,1.86923172
19,27,1.526315789,Multiple,1.278753601
6,27,2,Native American,0.77815125
391,27,0.84398977,White,2.592176757
48,28,0.979166667,Asian,1.681241237
59,28,0.949152542,Black,1.770852012
13,28,0.923076923,Multiple,1.113943352
12,28,1,Native American,1.079181246
409,28,0.772616137,White,2.611723308
52,29,0.730769231,Asian,1.716003344
68,29,0.661764706,Black,1.832508913
12,29,0.333333333,Multiple,1.079181246
8,29,1,Native American,0.903089987
422,29,0.727488152,White,2.625312451
41,30,0.56097561,Asian,1.612783857
77,30,0.883116883,Black,1.886490725
12,30,0.833333333,Multiple,1.079181246
10,30,1.6,Native American,1
461,30,0.750542299,White,2.663700925
44,31,1.090909091,Asian,1.643452676
80,31,1.2875,Black,1.903089987
10,31,1.2,Multiple,1
6,31,1.333333333,Native American,0.77815125
429,31,0.892773893,White,2.632457292
38,32,0.789473684,Asian,1.579783597
75,32,0.56,Black,1.875061263
13,32,0.692307692,Multiple,1.113943352
5,32,0,Native American,0.698970004
404,32,0.673267327,White,2.606381365
41,33,0.512195122,Asian,1.612783857
89,33,0.764044944,Black,1.949390007
21,33,1.19047619,Multiple,1.322219295
