Group1Sex,Group1Race,Group2Sex,Group2Race,Names,diff,lwr,upr,padj
Male,Asian,Female,Asian,Male:Asian-Female:Asian,-0.135105597,-0.408394864,0.138183671,0.865499425
Female,Black,Female,Asian,Female:Black-Female:Asian,0.157201219,-0.063446797,0.377849234,0.419555756
Male,Black,Female,Asian,Male:Black-Female:Asian,-0.02905233,-0.266167548,0.208062888,0.999996837
Female,Multiple,Female,Asian,Female:Multiple-Female:Asian,0.610488988,0.25230817,0.968669807,3.10E-06
Male,Multiple,Female,Asian,Male:Multiple-Female:Asian,0.186769216,-0.206398037,0.579936469,0.891520104
Female,Native American,Female,Asian,Female:Native American-Female:Asian,0.483508917,0.029048066,0.937969768,0.026434916
Male, Native American,Female,Asian,Male:Native American-Female:Asian,0.687216953,0.189513704,1.184920202,0.000529338
Female,White,Female,Asian,Female:White-Female:Asian,0.16400742,-0.031605851,0.359620691,0.193440987
Male,White,Female,Asian,Male:White-Female:Asian,-0.140406769,-0.337300568,0.056487029,0.418148858
Female,Black,Male,Asian,Female:Black-Male:Asian,0.292306815,0.06417031,0.520443321,0.002052223
Male,Black,Male,Asian,Male:Black-Male:Asian,0.106053267,-0.138045781,0.350152315,0.935139289
Female,Multiple,Male,Asian,Female:Multiple-Male:Asian,0.745594585,0.382752722,1.108436448,3.59E-09
Male,Multiple,Male,Asian,Male:Multiple-Male:Asian,0.321874813,-0.075543364,0.71929299,0.235731055
Female,Native American,Male,Asian,Female:Native American-Male:Asian,0.618614514,0.160471104,1.076757923,0.000811541
Male,Native American,Male,Asian,Male:Native American-Male:Asian,0.82232255,0.321254448,1.323390651,9.22E-06
Female,White,Male,Asian,Female:White-Male:Asian,0.299113016,0.095090297,0.503135736,0.000151912
Male,White,Male,Asian,Male:White-Male:Asian,-0.005301173,-0.210551961,0.199949616,1
Male,Black,Female,Black,Male:Black-Female:Black,-0.186253548,-0.36950984,-0.002997257,0.042699822
Female,Multiple,Female,Black,Female:Multiple-Female:Black,0.45328777,0.128245095,0.778330445,0.000435029
Male,Multiple,Female,Black,Male:Multiple-Female:Black,0.029567998,-0.333667093,0.392803088,0.999999914
Female,Native American,Female,Black,Female:Native American-Female:Black,0.326307698,-0.10252083,0.755136227,0.321163684
Male,Native American,Female,Black,Male:Native American-Female:Black,0.530015734,0.05560266,1.004428809,0.014912563
Female,White,Female,Black,Female:White-Female:Black,0.006806201,-0.118188972,0.131801375,0.999999998
Male,White,Female,Black,Male:White-Female:Black,-0.297607988,-0.424597788,-0.170618188,5.57E-12
Female,Multiple,Male,Black,Female:Multiple-Male:Black,0.639541318,0.303102883,0.975979753,8.13E-08
Male,Multiple,Male,Black,Male:Multiple-Male:Black,0.215821546,-0.157645736,0.589288828,0.717271332
Female,Native American,Male,Black,Female:Native American-Male:Black,0.512561247,0.075031834,0.950090659,0.008020611
Male,Native American,Male,Black,Male:Native American-Male:Black,0.716269283,0.233977001,1.198561565,0.000113721
Female,White,Male,Black,Female:White-Male:Black,0.19305975,0.040869496,0.345250003,0.00242134
Male,White,Male,Black,Male:White-Male:Black,-0.11135444,-0.265187106,0.042478227,0.395355237
Male,Multiple,Female,Multiple,Male:Multiple-Female:Multiple,-0.423719772,-0.883662903,0.036223358,0.10143951
Female,Native American,Female,Multiple,Female:Native American-Female:Multiple,-0.126980072,-0.640304393,0.38634425,0.998825181
Male,Native American,Female,Multiple,Male:Native American-Female:Multiple,0.076727964,-0.475246417,0.628702346,0.999990521
Female,White,Female,Multiple,Female:White-Female:Multiple,-0.446481569,-0.755077981,-0.137885157,0.000202765
Male,White,Female,Multiple,Male:White-Female:Multiple,-0.750895758,-1.060305456,-0.441486059,7.88E-13
Female,Native American,Male,Multiple,Female:Native American-Male:Multiple,0.296739701,-0.241580696,0.835060097,0.770205578
Male,Native American,Male,Multiple,Male:Native American-Male:Multiple,0.500447737,-0.074845847,1.075741321,0.153232149
Female,White,Male,Multiple,Female:White-Male:Multiple,-0.022761796,-0.371357172,0.325833579,0.999999988
Male,White,Male,Multiple,Male:White-Male:Multiple,-0.327175986,-0.676491533,0.022139562,0.088972166
Male,Native American,Female,Native American,Male:Native American-Female:Native American,0.203708036,-0.415094747,0.822510819,0.989710476
Female,White,Female,Native American,Female:White-Female:Native American,-0.319501497,-0.736002292,0.096999297,0.309538628
Male,White,Female,Native American,Male:White-Female:Native American,-0.623915686,-1.041019424,-0.206811949,9.65E-05
Female,White,Male,Native American,Female:White-Male:Native American,-0.523209533,-0.986509404,-0.059909662,0.013027531
Male,White,Male,Native American,Male:White-Male:Native American,-0.827623722,-1.291465707,-0.363781738,7.39E-07
Male,White,Female,White,Male:White-Female:White,-0.304414189,-0.379948382,-0.228879997,0
Female,Asian,Male,Asian,Male:Asian-Female:Asian,-0.135105597,-0.408394864,0.138183671,0.865499425
Female,Asian,Female,Black,Female:Black-Female:Asian,0.157201219,-0.063446797,0.377849234,0.419555756
Female,Asian,Male,Black,Male:Black-Female:Asian,-0.02905233,-0.266167548,0.208062888,0.999996837
Female,Asian,Female,Multiple,Female:Multiple-Female:Asian,0.610488988,0.25230817,0.968669807,3.10E-06
Female,Asian,Male,Multiple,Male:Multiple-Female:Asian,0.186769216,-0.206398037,0.579936469,0.891520104
Female,Asian,Female,Native American,Female:Native American-Female:Asian,0.483508917,0.029048066,0.937969768,0.026434916
Female,Asian,Male, Native American,Male:Native American-Female:Asian,0.687216953,0.189513704,1.184920202,0.000529338
Female,Asian,Female,White,Female:White-Female:Asian,0.16400742,-0.031605851,0.359620691,0.193440987
Female,Asian,Male,White,Male:White-Female:Asian,-0.140406769,-0.337300568,0.056487029,0.418148858
Male,Asian,Female,Black,Female:Black-Male:Asian,0.292306815,0.06417031,0.520443321,0.002052223
Male,Asian,Male,Black,Male:Black-Male:Asian,0.106053267,-0.138045781,0.350152315,0.935139289
Male,Asian,Female,Multiple,Female:Multiple-Male:Asian,0.745594585,0.382752722,1.108436448,3.59E-09
Male,Asian,Male,Multiple,Male:Multiple-Male:Asian,0.321874813,-0.075543364,0.71929299,0.235731055
Male,Asian,Female,Native American,Female:Native American-Male:Asian,0.618614514,0.160471104,1.076757923,0.000811541
Male,Asian,Male,Native American,Male:Native American-Male:Asian,0.82232255,0.321254448,1.323390651,9.22E-06
Male,Asian,Female,White,Female:White-Male:Asian,0.299113016,0.095090297,0.503135736,0.000151912
Male,Asian,Male,White,Male:White-Male:Asian,-0.005301173,-0.210551961,0.199949616,1
Female,Black,Male,Black,Male:Black-Female:Black,-0.186253548,-0.36950984,-0.002997257,0.042699822
Female,Black,Female,Multiple,Female:Multiple-Female:Black,0.45328777,0.128245095,0.778330445,0.000435029
Female,Black,Male,Multiple,Male:Multiple-Female:Black,0.029567998,-0.333667093,0.392803088,0.999999914
Female,Black,Female,Native American,Female:Native American-Female:Black,0.326307698,-0.10252083,0.755136227,0.321163684
Female,Black,Male,Native American,Male:Native American-Female:Black,0.530015734,0.05560266,1.004428809,0.014912563
Female,Black,Female,White,Female:White-Female:Black,0.006806201,-0.118188972,0.131801375,0.999999998
Female,Black,Male,White,Male:White-Female:Black,-0.297607988,-0.424597788,-0.170618188,5.57E-12
Male,Black,Female,Multiple,Female:Multiple-Male:Black,0.639541318,0.303102883,0.975979753,8.13E-08
Male,Black,Male,Multiple,Male:Multiple-Male:Black,0.215821546,-0.157645736,0.589288828,0.717271332
Male,Black,Female,Native American,Female:Native American-Male:Black,0.512561247,0.075031834,0.950090659,0.008020611
Male,Black,Male,Native American,Male:Native American-Male:Black,0.716269283,0.233977001,1.198561565,0.000113721
Male,Black,Female,White,Female:White-Male:Black,0.19305975,0.040869496,0.345250003,0.00242134
Male,Black,Male,White,Male:White-Male:Black,-0.11135444,-0.265187106,0.042478227,0.395355237
Female,Multiple,Male,Multiple,Male:Multiple-Female:Multiple,-0.423719772,-0.883662903,0.036223358,0.10143951
Female,Multiple,Female,Native American,Female:Native American-Female:Multiple,-0.126980072,-0.640304393,0.38634425,0.998825181
Female,Multiple,Male,Native American,Male:Native American-Female:Multiple,0.076727964,-0.475246417,0.628702346,0.999990521
Female,Multiple,Female,White,Female:White-Female:Multiple,-0.446481569,-0.755077981,-0.137885157,0.000202765
Female,Multiple,Male,White,Male:White-Female:Multiple,-0.750895758,-1.060305456,-0.441486059,7.88E-13
Male,Multiple,Female,Native American,Female:Native American-Male:Multiple,0.296739701,-0.241580696,0.835060097,0.770205578
Male,Multiple,Male,Native American,Male:Native American-Male:Multiple,0.500447737,-0.074845847,1.075741321,0.153232149
Male,Multiple,Female,White,Female:White-Male:Multiple,-0.022761796,-0.371357172,0.325833579,0.999999988
Male,Multiple,Male,White,Male:White-Male:Multiple,-0.327175986,-0.676491533,0.022139562,0.088972166
Female,Native American,Male,Native American,Male:Native American-Female:Native American,0.203708036,-0.415094747,0.822510819,0.989710476
